,wind_speed_Hessen,wind_speed_Brandenburg,wind_speed_Niedersachsen,wind_speed_Bayern,wind_speed_Rheinland-Pfalz,wind_speed_Mecklenburg-Vorpommern,wind_speed_Thüringen,wind_speed_Berlin,wind_speed_Saarland,wind_speed_Nordrhein-Westfalen,wind_speed_Bremen,wind_speed_Sachsen-Anhalt,wind_speed_Schleswig-Holstein,wind_speed_Sachsen,wind_speed_Baden-Württemberg,wind_speed_Hamburg,time_unix
1708552800,6.560666666666667,5.435333333333333,7.911333333333332,2.9453333333333336,6.707333333333334,6.117333333333334,7.5,5.023333333333333,7.117333333333334,6.350666666666666,7.933333333333334,6.603333333333334,7.216,5.367333333333333,5.772,6.1033333333333335,1708552800
1708556400,6.483333333333333,5.664666666666667,7.9206666666666665,3.242666666666667,6.806666666666667,6.520666666666666,8.19,5.446666666666666,7.110666666666667,6.293333333333333,7.636666666666667,7.162666666666667,7.192000000000001,5.934666666666667,6.362,5.976666666666667,1708556400
1708560000,6.406000000000001,5.894,7.93,3.5400000000000005,6.906000000000001,6.9239999999999995,8.879999999999999,5.87,7.104000000000001,6.236,7.34,7.722000000000001,7.168000000000001,6.502,6.952,5.85,1708560000
1708563600,6.298000000000001,5.961333333333333,7.740666666666667,4.1240000000000006,6.513333333333334,6.841333333333333,8.644,5.886666666666667,7.128666666666668,5.750666666666667,7.07,7.523333333333334,6.852,6.982,6.674666666666667,5.66,1708563600
1708567200,6.19,6.028666666666666,7.551333333333333,4.708,6.120666666666667,6.758666666666667,8.408,5.903333333333333,7.153333333333333,5.2653333333333325,6.8,7.324666666666667,6.5360000000000005,7.4620000000000015,6.397333333333333,5.47,1708567200
1708570800,6.082000000000001,6.095999999999999,7.362,5.292,5.728,6.676,8.172,5.92,7.178,4.779999999999999,6.53,7.126,6.22,7.942000000000002,6.12,5.28,1708570800
1708574400,5.520666666666667,5.867333333333333,6.872,5.1353333333333335,5.467333333333333,6.433333333333334,7.988666666666668,5.71,7.21,4.533333333333333,6.1066666666666665,6.809333333333334,5.692666666666667,7.800000000000002,5.8966666666666665,4.8500000000000005,1708574400
1708578000,4.959333333333333,5.638666666666666,6.382000000000001,4.978666666666666,5.206666666666666,6.190666666666666,7.805333333333334,5.5,7.242000000000001,4.286666666666666,5.683333333333334,6.492666666666667,5.165333333333333,7.658,5.673333333333334,4.42,1708578000
1708581600,4.398,5.409999999999999,5.892,4.822,4.946,5.9479999999999995,7.622000000000002,5.29,7.274000000000001,4.04,5.26,6.176,4.638,7.516,5.45,3.99,1708581600
1708585200,4.494666666666666,5.347333333333332,5.653333333333333,4.833333333333333,5.3486666666666665,5.696666666666666,7.120000000000001,5.173333333333334,7.490666666666667,4.247333333333334,4.983333333333333,5.886666666666667,4.492666666666667,7.253333333333333,5.799333333333333,4.173333333333334,1708585200
